decimalLongitude,decimalLatitude,status
-101.75,24.25,0
-90.75,15.75,0
-98.75,21.25,0
-93.75,17.75,0
-87.25,14.25,0
-96.25,15.75,0
-90.75,16.75,0
-86.25,14.75,0
-90.25,16.25,0
-89.75,16.25,0
-97.25,20.25,0
-99.25,21.25,0
-98.25,20.75,0
-94.25,17.25,0
-92.75,15.25,0
-101.75,18.75,0
-91.75,14.75,0
-101.75,21.25,0
-97.75,21.25,0
-99.75,20.75,0
-98.75,23.75,0
-97.75,16.25,0
-100.25,24.25,0
-89.25,17.25,0
-88.75,15.75,0
-99.75,24.25,0
-85.75,12.25,0
-83.75,12.75,0
-86.25,13.75,0
-96.75,18.25,0
-97.75,24.25,0
-97.75,18.75,0
-95.75,17.25,0
-88.25,21.25,0
-93.25,16.25,0
-90.75,19.25,0
-92.25,16.75,0
-84.75,13.25,0
-99.75,18.75,0
-88.75,20.75,0
-87.25,13.75,0
-98.25,17.75,0
-84.25,22.25,0
-88.75,19.75,0
-98.25,19.75,0
-99.25,18.75,0
-94.25,16.25,0
-85.75,14.75,0
-99.25,20.25,0
-92.75,16.75,0
-92.75,18.25,0
-98.75,19.25,0
-92.75,15.75,0
-89.75,19.75,0
-100.25,21.75,0
-87.75,15.75,0
-87.75,15.25,0
-98.25,21.25,0
-84.75,14.75,0
-88.25,19.25,0
-87.75,21.25,0
-98.25,16.25,0
-86.75,15.75,0
-83.75,22.75,0
-89.75,15.75,0
-94.75,17.25,0
-99.75,19.75,0
-90.75,14.75,0
-85.25,15.25,0
-84.25,15.75,0
-86.25,13.25,0
-88.75,18.25,0
-88.25,18.25,0
-98.75,22.25,0
-87.25,15.75,0
-99.25,22.75,0
-91.25,17.25,0
-98.75,18.25,0
-88.25,14.25,0
-91.75,18.25,0
-94.25,16.75,0
-85.75,13.25,0
-89.75,18.25,0
-86.75,13.25,0
-90.25,19.75,0
-96.25,16.25,0
-97.25,17.25,0
-101.75,21.75,0
-85.75,13.75,0
-95.25,17.75,0
-100.75,17.25,0
-95.75,18.25,0
-90.75,16.25,0
-97.75,17.25,0
-87.25,14.75,0
-84.75,12.75,0
-100.25,17.75,0
-93.25,17.75,0
-99.25,19.25,0
-87.25,12.75,0
-91.25,18.75,0
-85.25,12.25,0
-92.75,17.25,0
-97.25,18.75,0
-82.75,22.75,0
-85.75,15.75,0
-89.75,13.75,0
-84.75,12.25,0
-95.75,16.25,0
-92.25,15.25,0
-100.75,20.75,0
-86.75,15.25,0
-90.25,15.75,0
-99.25,23.75,0
-90.25,16.75,0
-88.75,16.25,0
-86.75,14.25,0
-98.75,18.75,0
-100.25,20.75,0
-86.75,14.75,0
-91.75,15.75,0
-97.75,19.75,0
-96.75,16.75,0
-92.25,18.25,0
-92.25,17.75,0
-91.25,16.75,0
-89.75,20.25,0
-96.75,19.25,0
-92.25,17.25,0
-89.25,17.75,0
-89.25,13.75,0
-89.75,14.75,0
-83.75,22.25,0
-88.75,15.25,0
-101.25,24.25,0
-89.25,14.25,0
-100.25,17.25,0
-87.75,14.75,0
-86.75,12.25,0
-83.75,12.25,0
-96.75,17.25,0
-100.25,19.75,0
-97.25,16.25,0
-100.75,24.25,0
-96.25,17.75,0
-98.25,22.75,0
-89.75,17.25,0
-98.25,23.75,0
-101.25,21.25,0
-85.75,15.25,0
-101.25,20.25,0
-90.75,15.25,0
-87.25,20.75,0
-99.25,23.25,0
-85.75,14.25,0
-89.25,15.25,0
-100.75,19.25,0
-83.75,15.25,0
-88.75,13.25,0
-88.25,20.25,0
-101.25,22.25,0
-96.75,16.25,0
-87.75,19.75,0
-99.25,17.25,0
-86.75,13.75,0
-98.75,24.25,0
-100.75,21.25,0
-89.25,16.25,0
-99.75,21.75,0
-101.25,19.75,0
-89.25,18.75,0
-90.25,20.25,0
-100.75,19.75,0
-85.25,12.75,0
-91.75,15.25,0
-98.25,21.75,0
-101.75,20.25,0
-98.25,19.25,0
-99.25,19.75,0
-96.75,19.75,0
-84.25,13.75,0
-91.75,16.75,0
-99.25,22.25,0
-83.75,14.25,0
-88.75,18.75,0
-89.25,20.25,0
-98.25,16.75,0
-97.75,20.75,0
-97.25,18.25,0
